Year,BS,EI,GS,JOIN,SSWI
2001,0.132 (0.024),0.223 (0.062),NA,NA,0.196 (0.011)
2004,0.15 (0.008),0.219 (0.028),NA,NA,0.21 (0.045)
2005,0.25 (0.014),NA,NA,NA,0.253 (0.005)
2006,0.214 (0.009),NA,0.152 (0.09),NA,0.349 (0.025)
2007,0.108 (0.078),0.095 (0.008),0.069 (0.014),NA,0.277 (0.057)
2008,NA,0.069 (0.008),NA,NA,NA
2009,NA,0.322 (0.058),NA,NA,0.232 (0.016)
2010,0.197 (0.004),0.329 (0.02),0.242 (0.014),NA,0.31 (0.008)
2011,0.185 (0.012),NA,NA,NA,0.426 (0.009)
2012,0.156 (0.004),NA,0.148 (0.003),NA,0.386 (0.006)
2013,0.13 (0.001),0.191 (0.013),0.123 (0.002),NA,0.176 (0.005)
2014,0.175 (0.002),0.201 (0.007),0.172 (0.006),NA,0.311 (0.004)
2015,0.19 (0.003),0.389 (0.022),0.177 (0.003),NA,0.386 (0.026)
2016,0.288 (0.01),0.36 (0.057),0.293 (0.007),0.331 (0.19),0.266 (0.033)
2017,0.165 (0.004),1 (0),0.214 (0.016),0.249 (0.022),0.27 (0.01)
2018,0.165 (0.003),0.334 (0.019),0.162 (0.004),NA,0.294 (0.018)
2019,0.161 (0.004),0.425 (0.02),0.141 (0.005),NA,0.349 (0.006)
2020,0.11 (0.004),NA,0.087 (0.004),NA,0.24 (0.012)
