"","Year","SPR BS","SPR EI","SPR Extra","SPR JOIN","SPR SSWI","Var BS","Var EI","Var Extra","Var JOIN","Var SSWI"
"1",2001,0.339,0.223,NA,NA,0.194,0.025,0.017,NA,NA,0.003
"2",2004,0.209,0.221,NA,NA,0.21,0.003,0.001,NA,NA,0.002
"3",2005,0.325,NA,NA,NA,0.254,0.001,NA,NA,NA,0
"4",2006,0.314,NA,0.152,NA,0.353,0.026,NA,0.008,NA,0.033
"5",2007,0.372,0.09,0.069,NA,0.274,0.024,0.002,0,NA,0.017
"6",2008,0.125,0.072,NA,NA,NA,0.002,0.001,NA,NA,NA
"7",2009,0.296,0.319,NA,NA,0.234,0.003,0.011,NA,NA,0.001
"8",2010,0.31,0.424,0.246,NA,0.457,0.006,0.027,0.019,NA,0.013
"9",2011,0.579,NA,NA,NA,0.417,0.01,NA,NA,NA,0.014
"10",2012,0.395,0.176,0.149,NA,0.362,0.061,0.006,0.001,NA,0.017
"11",2013,0.193,0.182,0.128,NA,0.182,0.001,0.001,0,NA,0.003
"12",2014,0.235,0.157,0.177,NA,0.294,0.001,0,0.001,NA,0.002
"13",2015,0.247,0.385,0.182,NA,0.378,0.005,0.016,0.001,NA,0.023
"14",2016,0.331,0.317,0.294,0.331,0.301,0.029,0.029,0.003,0.036,0.026
"15",2017,0.211,1,0.19,0.254,0.262,0.008,0,0.015,0.002,0.007
"16",2018,0.216,0.33,0.132,NA,0.291,0.002,0.034,0.001,NA,0.033
"17",2019,0.331,0.421,0.125,0.345,0.367,0.01,0.018,0.002,0.023,0.002
"18",2020,0.121,NA,0.085,NA,0.24,0.002,NA,0.001,NA,0.001
