"Label","s1.1","s1.2","s1.3","s1.4"
"TOTAL_like",1291.04,25963.9,1591.45,25188.8
"Survey_like",412.88,23344.1,645.637,23313.3
"Length_comp_like",846.103,2593.08,933.491,1860.93
"Parm_priors_like",0.480866,9.38168,5.01577,9.0193
"Recr_Virgin_billions",107.962,415.8,66.896,368.857
"SR_LN(R0)",18.4973,19.8457,18.0187,19.7259
"SR_LN(R0)_dev_se",NA,NA,0.5,0.5
"SR_LN(R0)_dev_autocorr",NA,NA,0,0
"SR_LN(R0)_DEVmult_2000",NA,NA,-0.0174829,-0.168254
"SR_LN(R0)_DEVmult_2001",NA,NA,0.123482,0.0544492
"SR_LN(R0)_DEVmult_2002",NA,NA,0.0613381,0.0509236
"SR_LN(R0)_DEVmult_2003",NA,NA,-0.604473,-0.632315
"SR_LN(R0)_DEVmult_2004",NA,NA,-0.151523,-0.16307
"SR_LN(R0)_DEVmult_2005",NA,NA,-0.0769239,-0.115789
"SR_LN(R0)_DEVmult_2006",NA,NA,0.0932591,0.0541627
"SR_LN(R0)_DEVmult_2007",NA,NA,0.0291762,-0.0224455
"SR_LN(R0)_DEVmult_2008",NA,NA,-0.217589,-0.243368
"SR_LN(R0)_DEVmult_2009",NA,NA,-0.0564378,-0.127149
"SR_LN(R0)_DEVmult_2010",NA,NA,0.0135076,-0.101928
"SR_LN(R0)_DEVmult_2011",NA,NA,0.113518,-0.0420608
"SR_LN(R0)_DEVmult_2012",NA,NA,0.128751,0.0308377
"SR_LN(R0)_DEVmult_2013",NA,NA,-0.399511,-0.0679144
"SR_LN(R0)_DEVmult_2014",NA,NA,-0.0359554,0.00457708
"SR_LN(R0)_DEVmult_2015",NA,NA,0.118054,-0.0284196
"SR_LN(R0)_DEVmult_2016",NA,NA,0.169903,0.00229522
"SR_LN(R0)_DEVmult_2017",NA,NA,0.0314354,-0.0550251
"SR_LN(R0)_DEVmult_2018",NA,NA,0.289649,0.153088
"SR_LN(R0)_DEVmult_2019",NA,NA,0.341389,0.149552
"SR_LN(R0)_DEVmult_2020",NA,NA,-0.182343,-0.355401
"SSB_Virgin",3565180,2213450,2209070,2028880
"Bratio_2020",1.87968,0.501969,1.81788,0.838206
"SPRratio_2020",0.144309,0.120734,0.176004,0.104103
